,hw_title,subject,class_year,task,type_task,solution,extra_text,umit,umitsistem_id
0,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили бурый газ и избыток кислорода. В результате реакции образовалось вещество, которое прореагировало с избытком едкого калия. Соль подвергли термическому разложению. Выделившийся газ собрали и пропустили через серу. Напишите уравнения четырёх описанных реакций.&nbsp;</p>",TEXT,"<p>1. Бурый газ — это NO<sub>2</sub>. Он будет реагировать с кислородом с образованием оксида азота(V):</p><p><strong>4NO<sub>2</sub> + O<sub>2</sub> = 2N<sub>2</sub>O<sub>5</sub></strong></p><p>2. Едкий калий — это КОН. Он будет реагировать с оксидом азота(V) с образованием нитрата калия и воды:</p><p><strong>2KOH + N<sub>2</sub>O<sub>5</sub> = 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>3. Нитрат калия подвергли термическому разложению:</p><p><strong>2KNO<sub>3</sub> = 2KNO<sub>2</sub> + O<sub>2</sub></strong></p><p>4. Газ в предыдущей реакции — это O<sub>2</sub>, при пропускании кислорода через серу образуется оксид серы(IV):</p><p><strong>S + O<sub>2</sub> = SO</strong><sub><strong>2</strong></sub></p>",,Составление уравнений реакций,1201
1,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили бурый газ и избыток кислорода. В результате реакции образовалось вещество, которое прореагировало с избытком едкого калия. Соль подвергли термическому разложению. Выделившийся газ собрали и пропустили через серу. Напишите уравнения четырёх описанных реакций.&nbsp;</p>",TEXT,"<p>1. Бурый газ — это NO<sub>2</sub>. Он будет реагировать с кислородом с образованием оксида азота(V):</p><p><strong>4NO<sub>2</sub> + O<sub>2</sub> = 2N<sub>2</sub>O<sub>5</sub></strong></p><p>2. Едкий калий — это КОН. Он будет реагировать с оксидом азота(V) с образованием нитрата калия и воды:</p><p><strong>2KOH + N<sub>2</sub>O<sub>5</sub> = 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>3. Нитрат калия подвергли термическому разложению:</p><p><strong>2KNO<sub>3</sub> = 2KNO<sub>2</sub> + O<sub>2</sub></strong></p><p>4. Газ в предыдущей реакции — это O<sub>2</sub>, при пропускании кислорода через серу образуется оксид серы(IV):</p><p><strong>S + O<sub>2</sub> = SO</strong><sub><strong>2</strong></sub></p>",,Установление логических связей,1202
2,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,"Умение различать средние, кислые, основные, комплексные, смешанные и двойные соли",602
3,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,"Получение солей (средних, кислых, основных, комплексных)",612
4,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,Разложение солей,613
5,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,Химические свойства солей,614
6,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,"Составление формул солей (средних, кислых, основных и комплексных)",623
7,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,Составление уравнений реакций,1201
8,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Гидроксид железа(II) подвергли термическому разложению. В результате реакции образовалось твёрдое вещество, которое прореагировало с угарным газом. Выделившийся газ пропустили через избыток гашеной извести. Полученный осадок прокалили. Напишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Гидроксид железа(II) подвергли термическому разложению с образованием оксида железа(II) и воды:</p><p><strong>Fe(OH)<sub>2</sub>&nbsp;= FeO + H<sub>2</sub>O</strong></p><p>2. Твёрдое вещество — это FeO. Он будет реагировать с угарным газом (CO):</p><p><strong>FeO + СО = Fe + CO<sub>2</sub></strong></p><p>4. Выделившийся газ — это СО<sub>2</sub>, гашеная известь — это Ca(OH)<sub>2</sub>, между этими веществами протекает реакция с образованием карбоната кальция и воды:</p><p><strong>Ca(OH)<sub>2</sub> + СО<sub>2&nbsp;</sub>= CaCO<sub>3</sub> + H<sub>2</sub>O</strong></p><p>5. Полученный осадок — это CaCO<sub>3</sub>, при его прокаливании образуются оксид кальция и углекислый газ:</p><p><strong>CaCO<sub>3</sub> = СаО + СО</strong><sub><strong>2</strong></sub></p>",,Установление логических связей,1202
9,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Химические и физические свойства азота,108
10,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,"Основные соединения азота. Оксиды и кислоты азота, аммиак и их физические и химические свойства",115
11,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Составление уравнений реакций,1201
12,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>В реактор постоянного объема поместили азот и водород. В результате реакции образовалось вещество, которое окислили кислородом в присутствии катализатора. Полученный оксид полностью прореагировал с избытком кислорода. Выделившееся вещество пропустили через едкий калий. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между азотом и водородом — это реакция соединения:</p><p><strong>N<sub>2&nbsp;</sub>+ 3H<sub>2</sub>&nbsp;= 2NH</strong><sub><strong>3</strong></sub></p><p>2. Произошло окисление аммиака кислородом в присутствии катализатора, в результате реакции получаем оксид азота(II) и воду:</p><p><strong>4NH<sub>3</sub> + 5O<sub>2</sub>&nbsp;= 4NO + 6H<sub>2</sub>O</strong></p><p>3. Оксид, который будет реагировать с избытком кислорода, — это NO:</p><p><strong>4NO + 3O<sub>2</sub>&nbsp;= 2N<sub>2</sub>O</strong><sub><strong>5</strong></sub></p><p>4. Едкий калий — это КОН, он будет реагировать с оксидом азота(V):</p><p><strong>2КОН + N<sub>2</sub>O<sub>5</sub>&nbsp;= 2KNO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Установление логических связей,1202
13,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Окислительно-восстановительные реакции и принципы их протекания,41
14,Свойства классов веществ: оксиды | Задания основного уровня сложности,Химия,11 класс,"<p>Железную окалину разделили на две части. К первой части добавили избыток водорода, в результате выделилось вещество, которое прореагировало с соляной кислотой. Ко второй части добавили избыток угарного газа, в ходе реакции выделился газ, который прореагировал с избытком гидроксида стронция. Запишите уравнения четырёх описанных реакций.</p>",TEXT,"<p>1. Реакция между железной окалиной и избытком водорода – один из способов получения железа:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4H<sub>2</sub> = 3Fe + 4H<sub>2</sub>O</strong></p><p>2. Железо реагирует с соляной кислотой с выделением водорода, как обычная реакция между металлом и кислотой. При этом железо повышает степень окисления только до +2, так как окислитель здесь водород, а он не может окислить железо до +3:</p><p><strong>2Fe + 4HCl = 2FeCl<sub>2</sub>+ 2H<sub>2</sub></strong></p><p>3. Реакция между железной окалиной и избытком угарного газа – также один из способов получения железа. Углерод повышает степень окисления до +4, образуется углекислый газ:</p><p><strong>Fe<sub>3</sub>O<sub>4&nbsp;</sub>+ 4CO = 3Fe + 4СO<sub>2</sub></strong></p><p>4. Углекислый газ реагирует с избытком гидроксида стронция как кислотный оксид с основанием. В избытке основания образуется средняя соль:</p><p><strong>Sr(OH)<sub>2</sub> + CO<sub>2</sub> = SrCO<sub>3</sub> + H<sub>2</sub>O</strong></p>",,Общие химические свойства металлов,203
